time,point
1577443948.3507006, [1331.44069257  -929.75173908  -154.70826909] 
1577443948.6421347, [1415.04177498  -960.41694606    370.89900709] 
1577443948.7045708, [  1383.67224336  -1007.20087151      630.50392837] 
1577443948.8333323, [1371.40349503  -953.76804425    524.21768391] 
1577443948.8646207, [1352.93531299  -792.99831325    428.33629794] 
1577443948.9301164, [1347.91947658  -796.57428987    344.33361658] 
1577443948.9624135, [1362.62934685  -903.08044213    461.65576209] 
1577443949.0297134, [1345.63709326  -868.64437711    494.0064173  ] 
1577443949.0610688, [1350.60208679  -903.96707029    391.88264476] 
1577443949.0932662, [1320.76106754  -768.81841924    303.92939757] 
1577443949.1251526, [1346.86912611  -794.17139819    406.53262345] 
1577443949.156662, [1322.70413515  -720.78633764    376.21074286] 
1577443949.221322, [1350.60830502  -853.53226476    424.22679519] 
1577443949.2544844, [1335.49845204  -766.92145624    351.66814546] 
1577443949.84483, [1249.75971323  -523.55245661    280.54820303] 
1577443950.1648014, [1201.27206076  -378.9716481      259.1530944  ] 
1577443951.5096648, [1317.54670777  -664.13097546    512.29576731] 
1577443951.8476827, [1440.55353985  -999.03472273    814.22893554] 
1577443952.1769571, [1190.94074347  -601.34136801      98.91397135] 
1577443952.701647, [1192.66423771  -659.39416695      96.29527449] 
1577443952.7343857, [  1472.32223031  -1004.3809401        551.88848883] 
1577443953.061855, [  1490.31093825  -1022.79520302      491.18635735] 
1577443953.0947392, [  1482.94669439  -1017.6807464        462.7244122  ] 
1577443953.1276426, [  1497.73354525  -1012.75782652      559.92355393] 
1577443953.2569568, [  1494.57572295  -1019.83118336      535.48239372] 
1577443953.3557432, [  1483.25585453  -1008.70974918      509.31366314] 
1577443953.3868213, [1472.27008539  -969.09796769    543.95738784] 
1577443953.4874768, [1456.11214856  -954.40594006    513.08243731] 
1577443953.5520859, [  1478.01646413  -1005.88003484      570.13558541] 
1577443953.616135, [1465.56335487  -991.01414889    530.65342077] 
1577443953.6803038, [1417.44858281  -898.92836862    513.06422881] 
1577443953.8754182, [1459.21566278  -964.92063271    592.38511332] 
1577443953.9087403, [1291.67549253  -709.53563945      14.94416443] 
1577443953.9413936, [1463.40913248  -986.79810603    510.45427347] 
1577443953.9755216, [1424.01963211  -929.55148085    842.09134639] 
1577443954.0403755, [1419.70657963  -882.53040511    527.86225416] 
1577443954.1048338, [  1469.86599336  -1013.86829686      517.69357977] 
1577443954.1370015, [1422.77976035  -890.97376681    518.56960505] 
1577443954.170136, [1463.54863477  -989.84611163    668.02059743] 
1577443954.740643, [1456.36875184  -946.1647137      572.75457244] 
1577443955.0854778, [  1487.76429066  -1007.19416302      527.33020985] 
1577443955.475453, [1470.98322906  -969.9790449      665.02937356] 
1577443955.988927, [  1475.88192724  -1032.7194778        689.49553725] 
1577443956.0238173, [  1456.02146669  -1037.4958035        804.14319964] 
1577443956.0872254, [  1468.82684352  -1018.63402395      707.62284303] 
1577443956.2161994, [  1474.57576012  -1021.55950348      492.56373215] 
1577443956.6182077, [1306.72698236  -811.29828108      47.22756273] 
1577443956.750083, [1268.95918702  -762.70909994    -38.28427813] 
1577443956.8811266, [1457.06006389  -996.57730276    435.51990596] 
1577443957.024323, [  1474.70715226  -1019.73507631      459.85652169] 
1577443957.059202, [1301.55038489  -814.76738429      65.01681196] 
1577443957.2244952, [  1480.24371551  -1023.42348365      517.35227082] 
1577443957.321876, [  1468.77737716  -1021.65998083      658.16244919] 
1577443957.520761, [  1451.9957257    -1003.31926663      459.73687599] 
1577443957.584296, [1450.48029573  -995.21840614    472.81665288] 
1577443957.649846, [  1463.44619962  -1029.61458265      652.65707295] 
1577443957.6818995, [  1458.617028      -1013.91811297      638.76571057] 
1577443957.8814392, [  1466.19768028  -1020.70585815      489.80956293] 
1577443957.9476528, [  1463.34108591  -1031.07412438      678.82284132] 
1577443958.0128386, [  1447.54002436  -1021.24342128      785.77616718] 
1577443958.0793061, [1410.97812414  -970.71166357    819.03999016] 
1577443958.1474385, [  1462.16418501  -1015.93356725      669.40714903] 
1577443958.1817932, [1436.48547807  -972.61654513    452.95570723] 
1577443958.249354, [1460.38772197  -994.62328246    706.12271524] 
1577443958.2835517, [  1468.8115878    -1009.0291888        484.75581943] 
1577443958.3491902, [  1481.39299871  -1019.77446157      554.07405163] 
1577443958.447593, [  1484.96952464  -1023.72121642      515.63076996] 
1577443958.5458512, [1469.75335937  -991.58100192    689.71055063] 
1577443958.9189749, [  1488.75686786  -1005.87448391      760.98068846] 
1577443959.171882, [1448.56763607  -935.26746357    803.99204568] 
1577443959.2981699, [1455.13523901  -929.31771105    481.28499713] 
1577443959.330508, [1492.74573849  -999.11063907    427.60079888] 
1577443959.3627276, [1467.85693884  -926.11268042    508.71087644] 
1577443959.3948936, [1258.26248059  -719.08357869    -75.59641645] 
1577443959.653518, [  1538.69512475  -1024.78458014      454.69129365] 
1577443959.7186613, [  1509.88233609  -1022.03261707      448.49455799] 
1577443959.9456632, [1280.17610488  -722.41905395    -48.74239596] 
1577443960.012986, [1266.1915233    -706.84578135    -98.55313046] 
1577443960.1101556, [1288.47534944  -724.36735557    -26.36390045] 
1577443960.1433501, [1298.53367539  -735.86495117    -43.34467149] 
1577443960.368557, [1291.74852152  -722.8630454      -58.03829746] 
1577443960.765036, [1326.58785484  -770.5092121      -88.43408483] 
1577443960.796635, [1826.94842361    334.07776297    123.22294932] 
1577443960.9911413, [1846.01025802    279.90893654      77.33763207] 
1577443961.0231044, [1836.15058415    320.50866867      92.70130165] 
1577443961.0556548, [1854.52821486    256.99285135      59.21343359] 
1577443961.0891314, [1853.85290794    259.77173669      62.42574034] 
1577443961.1243987, [1849.78502409    269.05157493      58.29123411] 
1577443961.190011, [1850.77972722    268.2150984        71.71838945] 
1577443961.2236662, [1854.2947995      251.41269644      55.54313439] 
1577443961.2898479, [1845.71714024    278.33141316      54.15672789] 
1577443961.3227334, [1850.26923644    268.45089395      68.27553283] 
1577443961.9000893, [1799.15795578    317.2036703      103.14728047] 
1577443962.2445424, [1865.70954557    248.77939239      85.49588545] 
1577443963.2204251, [1339.56169095  -792.639482        -75.45885243] 
1577443963.283251, [1935.51895842      66.14766024    391.16379267] 
1577443963.3155515, [1943.38788676      46.37534582    369.71045884] 
1577443963.3478127, [1799.82034807    359.76230266    171.41405542] 
